Amor	Acaulospora_morrowiae_HWC-4_Trinity
Amac	Allomyces_macrogynus_ATCC_38327.v3
Alep	Ambispora_leptoticha_HWC-9_Trinity
Artol1	Arthrobotrys_oligospora_ATCC_24927.Artol1
Batde5	Batrachochytrium_dendrobatidis_JAM81
Calth2	Calcarisporiella_thermophila_CBS279
Catan1	Catenaria_anguillulae_PL171
Ccla	Claroideoglomus_claroideum_HWC-10_Trinity
Coemoj1	Coemansia_mojavensis_RSA_71
Coere1	Coemansia_reversa_NRRL_1564
Conco1	Conidiobolus_coronatus_NRRL_28638
Conth1	Conidiobolus_thromboides_FSU_785
Ccin	Coprinopsis_cinerea_okayama7_130
Cneo	Cryptococcus_neoformans_var._neoformans_JEC21
Disorn1	Dissophora_ornata_CBS_347.77
Dver	Diversispora_versiforme_HWC-5_Trinity
Fmos	Funneliformis_mosseae_HWC-11_Trinity
GSIPH	Geosiphon_sp
Gros	Gigaspora_rosea_Trinity
Ganpr1	Gonapodya_prolifera_JEL478
Hesve2finisherSC	Hesseltinella_vesiculosa_NRRL_3301
Lichy1	Lichtheimia_hyalospora_FSU_10163
Linpe1	Linderina_pennispora_ATCC_12442
Marpt1	Martensiomyces_pterosporus_CBS_209.56
Morel1	Mortierella_elongata
BCCTZ	Mortierella_wolfii__NRRL_66265.LCG
Mucci2	Mucor_circinelloides_CBS277.49
Ncra	Neurospora_crassa_OR74A
Parag	Paraglomus_sp_Ottawa
Pgra	Puccinia_graminis_f._sp._tritici_CRL_75-36-700-3
Rcas	Racocetra_castanea_HWC-7_Trinity
Rambr1	Ramicandelaber_brevisporus_CBS_109374
Rhice1_1	Rhizophagus_cerebriforme_DAOM_227022
RclHR1	Rhizophagus_clarus_HR1
Gloin1	Rhizophagus_irregularis_DAOM_181602
Rall	Rozella_allomycis_CSF55
Spom	Schizosaccharomyces_pombe_972h-.vASM294v2
Scal	Scutellospora_calospora_HWC-6_Trinity
Spun	Spizellomyces_punctatus_DAOM_BR117.v1
Synfus1	Syncephalis_fuscata_S228
Tubme1	Tuber_melanosporum.Tubme1
Umbra1	Umbelopsis_ramanniana_NRRL_5844
Umay	Ustilago_maydis_521.v190413
Ylip	Yarrowia_lipolytica_CLIB122
Zoorad1	Zoophthora_radicans_ATCC_208865
